event_id	lsn-13
event_date	Thursday the 29th of January
event_time	18:00
institution	UCL
room_name	G08 Sir David Davies LT in Roberts Building
room_link	https://docs.google.com/document/d/1yPadvnTwk4vXlT8ClkUhTJ1_O58ewVGbzOs7I7CvcDA/edit?usp=sharing
address	UCL
registration_link	https://events.humanitix.com/london-synbio-network-13
speaker_1_name	Jason Yu
speaker_1_lab	Bezos Center for Sustainable Protein
speaker_1_lab_link	https://bezoscentre.co.uk/
speaker_1_org	Imperial
speaker_1_talk_title	Breaking Bud: There and Back Again — A Scientist’s Journey in Engineering Living Systems
speaker_1_emoji	🦠
speaker_2_name	Edith Forestier
speaker_2_lab	Sarkisyan lab
speaker_2_lab_link	https://www.designing.bio/
speaker_2_org	Imperial
speaker_2_talk_title	Using synthetic biology and pathway engineering to decode plant terpene biosynthesis
speaker_2_emoji	🌱
